Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Mexico,2009,64.0112154402062,6.03016593228722,1.47675580253545,51.0767972218211,48.9232027781789,22.48,0.159842847415204,77.52,1.86191341992348,75.128,72.233,78.004
Mexico,2010,64.3491308048508,6.14318167896122,1.43814066910139,51.0699139449979,48.9300860550021,22.185,0.117173388078255,77.815,1.81796631467998,75.065,72.135,77.979
Mexico,2011,64.6788271482325,6.24420542366424,1.39478996981758,51.0703185020177,48.9296814979823,21.889,0.0515758490797851,78.111,1.7744572453399,75.011,72.056,77.952
Mexico,2012,64.9567954678505,6.3433942457313,1.35529442643505,51.0759011559205,48.9240988440795,21.595,0.0030523237593838,78.405,1.73097530755872,74.966,71.997,77.922
Mexico,2013,65.1952915041032,6.44976025304518,1.31555760676608,51.0841907032734,48.9158092967266,21.301,-0.0552207900612247,78.699,1.68983234295214,74.93,71.958,77.89
Mexico,2014,65.4188112366928,6.57479338977563,1.27768636604222,51.0915483399765,48.9084516600235,21.007,-0.112142908580838,78.993,1.65056526440047,74.908,71.943,77.86
Mexico,2015,65.6393151459625,6.7247161862432,1.24116450246976,51.0954978337905,48.9045021662095,20.715,-0.158599751358101,79.285,1.61013604556509,74.904,71.954,77.837
Mexico,2016,65.821789391381,6.8733203249054,1.20325950587092,51.0956729726833,48.9043270273168,20.423,-0.216377556093139,79.577,1.5708748882209,74.917,71.99,77.826
Mexico,2017,66.0200045642909,7.04077048486791,1.16396694963579,51.0932755523227,48.9067244476773,20.133,-0.266178940038251,79.867,1.52773148162835,74.947,72.046,77.827
Mexico,2018,66.2194668282759,7.22368498087198,1.12641479134149,51.0892808319391,48.9107191680609,19.844,-0.319440697492789,80.156,1.48761300066204,74.992,72.118,77.844
Mexico,2019,66.3982212450791,7.41666060424488,1.09136688717461,51.0851387494541,48.9148612505459,19.556,-0.370590771968483,80.444,1.45002297233125,75.054,72.203,77.879
Mexico,2020,66.5466307075596,7.61810383432982,1.05824003448927,51.0818744403914,48.9181255596086,19.269,-0.42021464078884,80.731,1.4143747761486,75.054,72.203,77.879
Burundi,2005,50.7458252442476,2.27622730744989,3.21716810192797,50.721283522545,49.278716477455,90.625,2.95709846805522,9.375,5.76667330506385,53.369,51.785,54.932
Burundi,2006,51.2222574343944,2.25768150761142,3.24609753918006,50.6888674198361,49.3111325801639,90.383,2.97869978051981,9.617,5.7947356649704,54.163,52.536,55.767
Burundi,2007,51.6861535440272,2.23835169075785,3.28891634923093,50.657180294741,49.342819705259,90.136,3.01526134024398,9.864,5.82485093790575,54.944,53.275,56.591
Burundi,2008,52.1059912858588,2.21681933108888,3.30118234557393,50.6271024835518,49.3728975164482,89.882,3.01899131706157,10.118,5.84357916260557,55.721,54.014,57.406
Burundi,2009,52.4478462354073,2.19085822397361,3.28716187848079,50.5997920135142,49.4002079864858,89.624,2.999707389753,10.376,5.80509460392204,56.488,54.749,58.203
Burundi,2010,52.6988213613303,2.16086445643772,3.25619646076404,50.5757753406506,49.4242246593494,89.358,2.95895546878626,10.642,5.78753144839316,57.228,55.467,58.966
Burundi,2011,52.6896526011435,2.13777986842749,3.20771300738314,50.5553331697626,49.4446668302374,89.085,2.9017330167863,10.915,5.74066583954413,57.925,56.149,59.677
Burundi,2012,52.6443901938873,2.11112106137278,3.15978509519121,50.5374761301978,49.4625238698022,88.806,2.84611361855554,11.194,5.68374638251579,58.568,56.783,60.328
Burundi,2013,52.5666355460226,2.08911866524826,3.13349808169981,50.5207591960925,49.4792408039075,88.518,2.80867010667306,11.482,5.67375507164453,59.148,57.357,60.913
Burundi,2014,52.4739547224236,2.08236259382207,3.13675679189263,50.5036060965629,49.4963939034371,88.224,2.80406121203163,11.776,5.66510709141841,59.665,57.871,61.433
